종목코드,순위
A060310,1895
A095570,201
A006840,202
A054620,203
A265520,1865
A211270,204
A027410,205
A282330,206
A126600,207
A138930,208
A001460,209
A013720,210
A001040,211
A079160,212
A035760,213
A311690,70
A000120,214
A011150,215
A097950,216
A051500,217
A058820,218
A023460,219
A056730,220
A083660,1985
A000590,221
A012030,1837
A016610,222
A005830,223
A000990,224
A139130,225
A060900,226
A025440,227
A001530,228
A000210,229
A001880,230
A375500,231
A068790,232
A007340,1946
A004840,233
A241520,234
A065150,235
A155660,50
A069730,236
A180400,237
A017940,238
A245620,239
A037370,240
A050120,241
A383220,242
A007700,243
A214270,141
A130500,244
A114090,245
A078930,246
A083450,1869
A006360,247
A001250,176
A007070,248
A297890,1908
A078150,249
A012630,250
A039570,251
A089470,252
A294870,253
A009540,254
A267250,255
A267270,256
A322000,257
A042670,258
A267260,259
A097230,260
A014790,261
A028300,262
A003580,263
A278650,1938
A067630,264
A024850,265
A047920,147
A115450,266
A204320,267
A060980,268
A011200,112
A036640,131
A082740,1886
A003560,269
A095340,270
A099520,271
A175330,272
A234080,273
A067290,274
A001060,194
A096760,275
A035900,276
A318000,277
A024840,278
A105560,279
A024120,280
A002380,281
A021320,282
A344820,283
A036670,284
A009070,110
A009440,1982
A119650,1847
A092220,285
A151860,286
A046440,287
A003620,288
A016380,289
A035600,290
A001390,291
A033180,292
A060720,1846
A001940,293
A058400,294
A114450,41
A025000,295
A092230,296
A000040,297
A044450,298
A030200,299
A033780,300
A058850,301
A058860,302
A060370,303
A122450,304
A052900,1809
A061970,305
A093050,306
A003550,307
A034220,308
A051900,309
A032640,310
A011070,311
A066570,312
A037560,313
A051910,314
A079550,315
A006260,316
A010120,317
A000680,318
A229640,319
A108320,320
A001120,321
A108670,322
A383800,323
A086960,1977
A023150,324
A035420,325
A160550,51
A053290,75
A181710,326
A060250,327
A104200,328
A005940,329
A034310,330
A030190,331
A008260,332
A004250,166
A010060,333
A178920,334
A024940,335
A005490,336
A218410,337
A327260,338
A091340,339
A010950,340
A019550,341
A034120,342
A046140,190
A151910,343
A036120,344
A099220,345
A036540,346
A255220,347
A040610,348
A184230,349
A005090,350
A016250,98
A001380,351
A004060,193
A002360,164
A009160,128
A123700,1937
A025530,1976
A034730,352
A011790,353
A018670,354
A001740,355
A006120,356
A210980,145
A068400,1932
A302440,357
A326030,358
A361610,359
A100090,181
A096770,360
A001510,361
A285130,362
A017670,363
A000660,1906
A048550,71
A063440,364
A003570,365
A064960,366
A100840,367
A036530,368
A005610,369
A011810,25
A077970,370
A071970,371
A289080,372
A002710,1966
A089230,373
A032540,374
A022220,375
A069260,376
A048770,377
A246690,378
A317240,1861
A002900,379
A024070,380
A057030,381
A037270,1804
A040300,382
A052220,60
A079940,383
A078890,384
A000500,385
A036620,386
A000860,387
A217730,388
A035250,389
A114190,2000
A094480,125
A011420,390
A039240,391
A053950,36
A002100,392
A009450,393
A267290,394
A012320,1817
A011040,395
A000050,396
A214390,397
A012610,398
A024910,399
A013580,400
A012200,401
A002140,402
A198440,403
A049720,404
A010130,405
A002240,406
A014570,407
A348150,1887
A098460,408
A035290,1927
A038530,409
A215000,410
A121440,411
A009290,412
A014200,413
A017040,414
A029480,415
A017900,416
A037710,417
A030610,418
A339770,419
A053270,420
A007690,421
A005320,99
A001140,422
A066620,423
A043650,424
A006050,425
A078130,426
A307750,427
A002720,428
A035080,1897
A204020,429
A083420,430
A186230,431
A014530,432
A204620,433
A019660,434
A014280,435
A053260,436
A008870,437
A001570,21
A002990,438
A011780,439
A214330,440
A073240,441
A036190,442
A049080,443
A035460,444
A092440,445
A000270,446
A024110,447
A013700,448
A308100,159
A004540,449
A286750,450
A121600,451
A247660,452
A039860,453
A051490,454
A190510,455
A242040,1918
A089600,456
A293580,457
A138610,458
A130580,459
A036800,460
A267320,461
A001260,462
A008350,463
A004270,464
A003920,148
A025860,465
A111710,466
A091590,467
A168330,61
A094860,468
A253590,469
A212560,1983
A095660,470
A042420,471
A311390,472
A085910,473
A092730,474
A306620,475
A153460,476
A007390,477
A033640,478
A330860,479
A005720,480
A002350,481
A089140,482
A348210,1913
A225570,483
A217270,484
A251270,485
A104620,486
A090350,487
A000320,488
A194700,107
A285490,489
A006280,490
A142280,491
A234690,492
A005250,180
A065560,493
A004370,494
A072710,495
A054050,496
A040160,497
A332290,1992
A012340,498
A214870,499
A270870,500
A144960,1988
A085670,501
A064260,502
A039560,503
A058730,504
A030210,505
A023590,506
A032190,507
A068240,508
A145210,1975
A019680,509
A006370,510
A008060,511
A353200,512
A000490,513
A008830,514
A008110,515
A004780,516
A005750,155
A017650,517
A006570,518
A007720,519
A317850,520
A290670,521
A078140,522
A001680,523
A084690,524
A036480,525
A128820,526
A117580,26
A027830,67
A104040,111
A016710,527
A003540,528
A045390,529
A009190,1898
A108380,530
A006580,531
A014160,53
A047040,532
A009320,533
A042660,534
A003090,535
A069620,536
A007680,537
A000430,538
A048910,539
A005710,540
A006340,541
A003220,542
A024890,543
A290380,544
A002880,545
A290120,179
A000300,117
A120240,546
A003310,547
A078600,548
A012800,549
A015230,550
A096350,1965
A140520,551
A131220,552
A010170,553
A054670,554
A001070,555
A023910,556
A006650,557
A001440,558
A084010,559
A001790,560
A001130,561
A003490,562
A005880,563
A003830,564
A016090,565
A069460,566
A067080,567
A298540,62
A118000,568
A192080,569
A299170,570
A012510,157
A213420,571
A317330,572
A077360,573
A004830,574
A090410,76
A024900,575
A263600,576
A194480,29
A263800,577
A206560,578
A261200,579
A145720,580
A067990,581
A002150,126
A006620,582
A100130,583
A005160,1934
A075970,584
A001230,585
A086450,586
A023450,587
A004140,49
A007590,588
A005960,589
A026960,590
A002210,591
A102260,592
A033500,593
A025950,594
A000640,195
A170900,595
A088130,596
A028100,597
A282690,598
A041930,599
A001520,600
A084670,601
A082640,602
A060380,603
A079960,604
A008970,605
A228340,606
A092780,607
A088910,608
A094170,609
A049770,610
A013120,611
A018500,1863
A006040,612
A014820,613
A163560,614
A109860,615
A032960,616
A004890,617
A002690,618
A005290,619
A025900,620
A000020,621
A000150,622
A241560,623
A034020,624
A131970,625
A336260,77
A016740,1945
A030350,20
A203650,626
A223250,627
A060570,628
A192650,140
A217620,55
A187870,629
A066670,630
A024090,631
A003160,632
A092200,633
A110990,634
A078590,635
A263690,160
A214680,1925
A263720,636
A109740,637
A196490,638
A066900,639
A127120,640
A092070,641
A039840,118
A013570,642
A219550,1952
A210540,643
A104460,4
A079810,644
A113810,645
A197140,184
A068930,646
A033130,647
A105740,189
A263020,648
A290550,649
A187220,650
A317120,651
A042510,652
A232680,653
A300120,654
A171120,1884
A069540,655
A347700,656
A214260,657
A115390,658
A200350,659
A171010,660
A084650,661
A217500,1900
A141080,662
A038390,663
A294140,664
A228670,665
A228850,666
A281740,1960
A277810,667
A215100,668
A090360,669
A108490,670
A071280,197
A032350,671
A000400,672
A023530,673
A020150,674
A280360,675
A004000,676
A286940,677
A004990,678
A005300,679
A011170,680
A071840,681
A038060,682
A085370,683
A060240,684
A058470,685
A019570,161
A016100,686
A012700,687
A302550,688
A277070,689
A042500,1939
A219420,690
A027740,691
A195500,692
A305090,693
A098120,1896
A038290,694
A001080,1873
A267980,695
A005990,696
A093520,1971
A100590,697
A067280,698
A072870,699
A215200,700
A133750,46
A235980,701
A041920,702
A054180,1880
A086900,703
A078160,704
A065650,1848
A138040,705
A021880,1879
A140410,706
A241770,707
A090370,13
A059210,1955
A058110,31
A096640,708
A017180,709
A257370,710
A009900,711
A012690,712
A005360,713
A080420,714
A080160,715
A087260,716
A101330,717
A012860,718
A363260,40
A348030,15
A250060,719
A033200,2
A009680,720
A118990,721
A009580,722
A001810,723
A009200,724
A033920,725
A008420,726
A279600,727
A095500,1994
A025560,1968
A218150,728
A007120,729
A100790,730
A085620,731
A006800,732
A049950,1888
A207760,733
A002840,734
A268280,735
A107590,736
A134380,737
A003650,738
A059090,66
A214610,739
A201490,740
A206640,741
A018700,742
A035620,743
A053030,744
A301300,7
A064550,745
A314930,1816
A086820,746
A038460,747
A086040,748
A032980,1829
A043150,749
A323990,104
A003610,750
A267790,751
A001340,752
A046310,1806
A035150,753
A331520,754
A066410,755
A002410,756
A206400,120
A019010,757
A177350,758
A007210,759
A225530,760
A250000,761
A002760,762
A003850,763
A006910,764
A000890,765
A226340,766
A003000,767
A001270,768
A026940,769
A014470,770
A011390,771
A338220,1979
A100120,772
A337930,109
A064480,17
A288330,73
A251630,773
A018290,774
A033560,775
A369370,776
A126340,777
A121800,778
A082800,779
A318410,1860
A100220,780
A200780,781
A141000,782
A090460,783
A083650,1940
A142760,784
A065170,785
A086670,786
A335890,787
A138580,788
A082920,789
A042370,790
A307870,791
A032850,792
A238200,793
A093190,794
A065450,795
A005180,796
A143240,797
A003960,798
A008040,799
A007160,800
A014710,801
A006090,802
A122350,14
A014970,88
A018310,803
A053700,804
A009620,805
A023600,806
A001470,1981
A006400,807
A006660,1917
A028260,808
A207940,809
A032830,810
A018260,811
A028050,812
A009150,1802
A005930,813
A001360,1923
A010140,814
A016360,815
A068290,816
A029780,817
A000810,818
A006110,1990
A009300,819
A145990,820
A003230,821
A225190,822
A002170,823
A272550,824
A000070,825
A003720,826
A002810,827
A054540,828
A005680,829
A023000,830
A004380,831
A002450,832
A002290,833
A004440,834
A000520,835
A009770,836
A037460,837
A032750,838
A054090,839
A005500,840
A000250,841
A004690,94
A024950,842
A038500,843
A017480,844
A010960,845
A046390,83
A004450,846
A009470,1935
A011230,847
A001820,848
A000390,849
A027580,850
A038540,851
A001290,852
A041650,853
A091580,854
A263810,855
A089980,856
A042940,1840
A042600,1959
A075180,857
A252990,858
A007540,859
A248170,860
A294630,861
A038070,862
A006730,863
A100660,864
A007860,1867
A200880,865
A019770,866
A017390,867
A092190,868
A046890,869
A004410,870
A063170,871
A018680,872
A021050,873
A093920,874
A189860,875
A178320,876
A122690,1838
A140070,1920
A011370,877
A065710,878
A008490,879
A035890,1826
A357550,1986
A003100,880
A007610,881
A067370,882
A171090,883
A136490,884
A086710,885
A014620,97
A037350,886
A014910,887
A003080,888
A004980,889
A011300,890
A081580,891
A045300,892
A015750,893
A000180,894
A080470,895
A043260,1953
A148150,1969
A340440,896
A017510,897
A004360,8
A004490,898
A011560,899
A001430,1811
A306200,900
A003030,901
A019440,902
A058650,903
A100700,904
A024830,905
A091090,906
A021820,907
A067830,908
A033530,909
A258830,910
A036630,911
A039310,912
A075580,913
A053450,1961
A222810,914
A027970,915
A252500,916
A049180,93
A299660,917
A268600,918
A108860,47
A208370,919
A068270,920
A068760,921
A091990,922
A060230,923
A290690,1999
A032680,115
A066910,924
A336370,925
A248070,926
A035610,1907
A357780,927
A036830,928
A304100,1943
A004430,198
A086980,929
A050960,27
A017550,171
A084180,149
A253840,58
A236200,930
A317770,931
A094840,932
A192440,933
A136510,934
A099440,935
A053210,936
A159910,12
A253450,937
A026890,938
A013810,939
A049830,940
A020710,941
A033170,1972
A048870,942
A025320,943
A134790,944
A269620,945
A131090,946
A139050,187
A016590,947
A290520,948
A029530,949
A004970,950
A001000,951
A215600,952
A065350,953
A011930,954
A005390,955
A004170,956
A035510,957
A034300,39
A031430,958
A031440,959
A006880,59
A002800,960
A005800,961
A001720,962
A009270,963
A017000,964
A002700,965
A012790,966
A138070,967
A226330,968
A019170,969
A055550,970
A056700,971
A187270,972
A004080,973
A243840,974
A222800,975
A036710,192
A160980,976
A356890,977
A217330,978
A102280,979
A003410,980
A010280,981
A004770,982
A208640,91
A222420,1822
A037760,177
A099320,983
A015540,984
A049960,985
A050890,986
A222080,54
A004920,987
A352480,1922
A264660,988
A352700,989
A297090,1853
A112610,990
A359090,991
A115480,992
A189330,1991
A096530,993
A101240,1944
A060590,994
A308170,995
A260930,996
A013990,997
A123860,998
A025980,999
A008700,1000
A125210,1001
A002790,1002
A090430,1003
A052710,156
A074430,1004
A092040,1005
A083930,1006
A149950,1007
A036010,1812
A002030,1008
A183190,137
A002310,1009
A050860,1010
A012170,1011
A246720,1998
A067390,1012
A127710,1013
A267850,174
A020560,1014
A143160,1015
A054800,1016
A332370,1017
A122900,1018
A339950,1019
A099190,1020
A289010,1021
A214430,1022
A040910,1023
A052860,1024
A010780,1025
A069920,1026
A038880,1027
A307180,1028
A101390,1805
A090150,1029
A123010,1030
A031310,146
A185490,87
A059100,1031
A262840,1032
A175250,1033
A052460,1984
A119830,1034
A124500,1035
A084850,1036
A027360,1037
A013310,1038
A059120,1039
A158430,72
A067160,1040
A001540,1041
A053800,1042
A065660,1892
A297570,1043
A001780,1044
A260660,1045
A215790,1046
A131370,1047
A140670,1048
A096610,1974
A061040,1049
A148250,1050
A347860,1051
A196170,1851
A123750,1052
A085810,1053
A291650,1054
A293780,1055
A018250,1056
A161000,1057
A196300,1058
A310200,1059
A205500,89
A052790,1060
A290740,1061
A238090,1062
A129890,105
A174900,1916
A255440,1063
A030960,6
A073570,1841
A102120,1064
A263540,1065
A238120,1066
A019990,52
A270660,1067
A038680,1068
A097780,123
A042110,32
A298060,1069
A260970,1070
A101490,1071
A095910,1072
A031330,1901
A060540,1073
A351320,1074
A056190,1075
A080000,1926
A005850,1803
A041510,1076
A010580,1823
A007820,1077
A109610,1078
A012750,1079
A306040,1080
A096630,1081
A069510,1082
A041910,1083
A234300,1084
A039440,1085
A052020,1878
A237690,168
A288620,1086
A317830,1893
A058610,1996
A043340,43
A023960,153
A298690,24
A200710,1919
A096690,1087
A078520,1088
A298380,1843
A203400,116
A195990,1089
A003800,1090
A088800,1091
A241840,68
A312610,1092
A015260,1093
A072990,1094
A227100,1870
A239610,1095
A357230,1096
A071670,1097
A045660,1098
A224110,1099
A230980,1100
A021080,142
A200470,130
A262260,1101
A007460,63
A109960,1854
A003060,1102
A244920,1103
A089970,1104
A230240,1105
A230360,1106
A038870,1929
A101360,1107
A128540,1108
A086520,199
A247540,163
A383310,1815
A038110,1909
A064850,1109
A036810,1110
A173940,1111
A083500,1112
A043090,1113
A205100,144
A092870,1114
A317870,1115
A067570,1116
A236810,1859
A333620,1117
A036570,1118
A031860,65
A265740,1119
A354200,90
A183490,1120
A085310,1121
A182400,1122
A069410,1123
A227950,1819
A291230,183
A290650,1910
A066970,1124
A156100,5
A073110,1125
A083310,1126
A037950,1127
A170920,158
A058630,143
A058970,1128
A019590,106
A169330,1129
A097520,1130
A179290,114
A009780,1131
A123040,1132
A032790,151
A033160,1133
A347890,1134
A033310,1135
A259630,1136
A115960,1137
A060850,139
A014440,1138
A143540,1139
A111770,1140
A009970,1141
A003520,1142
A000670,1143
A036560,1144
A006740,1145
A012280,1146
A265560,1828
A012160,1147
A036000,1148
A053280,1149
A015360,1150
A122640,1801
A045060,1151
A080520,1152
A007310,1153
A039830,1154
A322310,1155
A046120,1156
A014940,1157
A002630,1158
A271560,1159
A001800,1160
A010470,1161
A053980,1162
A052420,1163
A241790,1164
A039200,1947
A226400,1165
A031510,1166
A048260,1167
A138080,1168
A080580,1169
A067170,1170
A173130,1171
A049480,1876
A309930,1172
A244460,45
A226950,1173
A057540,121
A131030,1174
A082210,170
