종목코드,순위
A060310,119
A095570,1801
A006840,201
A054620,202
A265520,32
A211270,203
A027410,204
A282330,205
A126600,206
A138930,207
A001460,208
A013720,209
A001040,210
A079160,211
A035760,212
A311690,1978
A000120,1918
A011150,213
A097950,214
A051500,215
A058820,100
A023460,216
A056730,217
A083660,153
A000590,218
A012030,4
A016610,219
A005830,220
A000990,221
A139130,222
A060900,223
A025440,224
A001530,225
A000210,1853
A001880,1979
A375500,226
A068790,227
A007340,63
A004840,106
A241520,228
A065150,229
A155660,1948
A069730,230
A180400,231
A017940,232
A245620,233
A037370,234
A050120,235
A383220,236
A007700,237
A214270,238
A130500,239
A114090,240
A078930,241
A083450,86
A006360,242
A001250,243
A007070,1911
A297890,244
A078150,245
A012630,246
A039570,247
A089470,248
A294870,249
A009540,184
A267250,1833
A267270,250
A322000,251
A042670,92
A267260,134
A097230,252
A014790,253
A028300,254
A003580,255
A278650,256
A067630,257
A024850,258
A047920,259
A115450,260
A204320,261
A060980,262
A011200,1826
A036640,263
A082740,12
A003560,264
A095340,265
A099520,266
A175330,267
A234080,268
A067290,269
A001060,1914
A096760,270
A035900,55
A318000,271
A024840,272
A105560,273
A024120,274
A002380,2000
A021320,275
A344820,26
A036670,1906
A009070,1894
A009440,190
A119650,276
A092220,277
A151860,278
A046440,279
A003620,280
A016380,281
A035600,1803
A001390,282
A033180,283
A060720,284
A001940,285
A058400,286
A114450,287
A025000,288
A092230,1805
A000040,289
A044450,290
A030200,291
A033780,292
A058850,293
A058860,294
A060370,295
A122450,296
A052900,152
A061970,297
A093050,298
A003550,299
A034220,300
A051900,301
A032640,302
A011070,154
A066570,303
A037560,304
A051910,305
A079550,306
A006260,307
A010120,308
A000680,309
A229640,310
A108320,311
A001120,312
A108670,313
A383800,314
A086960,90
A023150,315
A035420,316
A160550,317
A053290,318
A181710,319
A060250,1925
A104200,320
A005940,321
A034310,322
A030190,323
A008260,324
A004250,325
A010060,326
A178920,327
A024940,328
A005490,81
A218410,329
A327260,330
A091340,331
A010950,332
A019550,333
A034120,334
A046140,335
A151910,336
A036120,337
A099220,338
A036540,339
A255220,340
A040610,341
A184230,342
A005090,343
A016250,1997
A001380,344
A004060,1849
A002360,1953
A009160,345
A123700,346
A025530,41
A034730,1850
A011790,347
A018670,348
A001740,349
A006120,118
A210980,1901
A068400,62
A302440,350
A326030,185
A361610,351
A100090,1808
A096770,352
A001510,353
A285130,354
A017670,355
A000660,38
A048550,356
A063440,1987
A003570,357
A064960,358
A100840,359
A036530,360
A005610,361
A011810,1830
A077970,362
A071970,179
A289080,363
A002710,364
A089230,365
A032540,366
A022220,367
A069260,368
A048770,369
A246690,1844
A317240,35
A002900,370
A024070,371
A057030,372
A037270,373
A040300,374
A052220,375
A079940,376
A078890,377
A000500,378
A036620,379
A000860,380
A217730,381
A035250,382
A114190,139
A094480,383
A011420,384
A039240,385
A053950,1952
A002100,386
A009450,53
A267290,387
A012320,388
A011040,1804
A000050,389
A214390,390
A012610,391
A024910,392
A013580,1821
A012200,393
A002140,394
A198440,395
A049720,396
A010130,397
A002240,398
A014570,399
A348150,141
A098460,400
A035290,401
A038530,402
A215000,403
A121440,404
A009290,405
A014200,406
A017040,407
A029480,408
A017900,409
A037710,410
A030610,1937
A339770,411
A053270,412
A007690,413
A005320,414
A001140,415
A066620,416
A043650,1928
A006050,417
A078130,418
A307750,419
A002720,420
A035080,421
A204020,422
A083420,423
A186230,424
A014530,425
A204620,426
A019660,427
A014280,428
A053260,429
A008870,430
A001570,1874
A002990,431
A011780,432
A214330,433
A073240,434
A036190,435
A049080,436
A035460,437
A092440,438
A000270,439
A024110,146
A013700,440
A308100,441
A004540,1932
A286750,442
A121600,443
A247660,444
A039860,445
A051490,158
A190510,446
A242040,148
A089600,447
A293580,448
A138610,449
A130580,450
A036800,451
A267320,452
A001260,453
A008350,454
A004270,455
A003920,1983
A025860,456
A111710,457
A091590,94
A168330,1885
A094860,458
A253590,459
A212560,170
A095660,460
A042420,461
A311390,462
A085910,463
A092730,464
A306620,465
A153460,466
A007390,467
A033640,468
A330860,469
A005720,470
A002350,471
A089140,472
A348210,52
A225570,473
A217270,474
A251270,475
A104620,476
A090350,477
A000320,478
A194700,1927
A285490,479
A006280,480
A142280,481
A234690,482
A005250,1842
A065560,483
A004370,484
A072710,200
A054050,1814
A040160,61
A332290,181
A012340,485
A214870,486
A270870,487
A144960,3
A085670,488
A064260,489
A039560,490
A058730,491
A030210,492
A023590,493
A032190,494
A068240,495
A145210,496
A019680,497
A006370,498
A008060,499
A353200,500
A000490,501
A008830,502
A008110,503
A004780,504
A005750,1864
A017650,505
A006570,506
A007720,507
A317850,508
A290670,509
A078140,510
A001680,511
A084690,512
A036480,513
A128820,514
A117580,1962
A027830,1936
A104040,1945
A016710,515
A003540,162
A045390,516
A009190,517
A108380,518
A006580,519
A014160,1964
A047040,520
A009320,521
A042660,522
A003090,523
A069620,524
A007680,525
A000430,526
A048910,54
A005710,527
A006340,528
A003220,529
A024890,530
A290380,531
A002880,532
A290120,533
A000300,1941
A120240,534
A003310,535
A078600,536
A012800,537
A015230,538
A096350,29
A140520,539
A131220,540
A010170,541
A054670,542
A001070,543
A023910,544
A006650,545
A001440,546
A084010,547
A001790,548
A001130,549
A003490,550
A005880,551
A003830,552
A016090,553
A069460,554
A067080,555
A298540,1889
A118000,556
A192080,557
A299170,558
A012510,559
A213420,560
A317330,561
A077360,562
A004830,563
A090410,564
A024900,8
A263600,565
A194480,1976
A263800,566
A206560,567
A261200,568
A145720,169
A067990,569
A002150,570
A006620,571
A100130,572
A005160,64
A075970,573
A001230,574
A086450,575
A023450,576
A004140,1990
A007590,577
A005960,578
A026960,579
A002210,580
A102260,581
A033500,582
A025950,583
A000640,1893
A170900,584
A088130,585
A028100,586
A282690,587
A041930,588
A001520,589
A084670,590
A082640,591
A060380,592
A079960,593
A008970,594
A228340,595
A092780,596
A088910,597
A094170,598
A049770,599
A013120,600
A018500,129
A006040,601
A014820,602
A163560,603
A109860,604
A032960,605
A004890,606
A002690,607
A005290,608
A025900,1965
A000020,609
A000150,610
A241560,47
A034020,611
A131970,612
A336260,613
A016740,163
A030350,1972
A203650,614
A223250,615
A060570,616
A192650,1969
A217620,1866
A187870,617
A066670,618
A024090,619
A003160,620
A092200,621
A110990,622
A078590,623
A263690,1819
A214680,14
A263720,624
A109740,625
A196490,626
A066900,627
A127120,628
A092070,629
A039840,630
A013570,631
A219550,632
A210540,633
A104460,1985
A079810,634
A113810,635
A197140,636
A068930,637
A033130,638
A105740,639
A263020,640
A290550,641
A187220,1858
A317120,642
A042510,643
A232680,644
A300120,645
A171120,111
A069540,646
A347700,647
A214260,648
A115390,649
A200350,650
A171010,651
A084650,652
A217500,653
A141080,654
A038390,1881
A294140,655
A228670,150
A228850,656
A281740,31
A277810,657
A215100,1812
A090360,658
A108490,659
A071280,660
A032350,661
A000400,662
A023530,1841
A020150,663
A280360,1832
A004000,664
A286940,665
A004990,666
A005300,667
A011170,668
A071840,669
A038060,670
A085370,671
A060240,672
A058470,673
A019570,674
A016100,675
A012700,676
A302550,677
A277070,678
A042500,70
A219420,679
A027740,680
A195500,681
A305090,682
A098120,683
A038290,684
A001080,124
A267980,685
A005990,686
A093520,5
A100590,687
A067280,688
A072870,689
A215200,1909
A133750,1958
A235980,690
A041920,691
A054180,692
A086900,693
A078160,694
A065650,198
A138040,695
A021880,168
A140410,43
A241770,696
A090370,1967
A059210,59
A058110,697
A096640,698
A017180,699
A257370,700
A009900,701
A012690,1931
A005360,702
A080420,703
A080160,704
A087260,705
A101330,706
A012860,707
A363260,1862
A348030,1942
A250060,708
A033200,709
A009680,710
A118990,711
A009580,712
A001810,713
A009200,714
A033920,715
