종목코드,순위
A060310,70
A095570,1942
A006840,201
A054620,202
A265520,203
A211270,204
A027410,205
A282330,194
A126600,206
A138930,207
A001460,208
A013720,209
A001040,210
A079160,211
A035760,212
A311690,1918
A000120,213
A011150,214
A097950,215
A051500,1877
A058820,216
A023460,217
A056730,218
A083660,41
A000590,219
A012030,220
A016610,221
A005830,222
A000990,223
A139130,224
A060900,225
A025440,226
A001530,227
A000210,1948
A001880,1899
A375500,228
A068790,229
A007340,165
A004840,40
A241520,230
A065150,231
A155660,232
A069730,233
A180400,234
A017940,6
A245620,235
A037370,236
A050120,237
A383220,238
A007700,239
A214270,240
A130500,241
A114090,242
A078930,243
A083450,244
A006360,245
A001250,246
A007070,1874
A297890,247
A078150,102
A012630,248
A039570,249
A089470,250
A294870,35
A009540,251
A267250,252
A267270,253
A322000,254
A042670,54
A267260,101
A097230,255
A014790,189
A028300,256
A003580,257
A278650,1976
A067630,258
A024850,259
A047920,1915
A115450,260
A204320,261
A060980,55
A011200,1980
A036640,262
A082740,155
A003560,263
A095340,38
A099520,264
A175330,265
A234080,266
A067290,267
A001060,268
A096760,269
A035900,84
A318000,270
A024840,271
A105560,272
A024120,273
A002380,1934
A021320,274
A344820,275
A036670,276
A009070,1931
A009440,277
A119650,278
A092220,279
A151860,280
A046440,187
A003620,281
A016380,282
A035600,1860
A001390,283
A033180,1928
A060720,284
A001940,285
A058400,286
A114450,287
A025000,288
A092230,289
A000040,290
A044450,291
A030200,292
A033780,293
A058850,294
A058860,295
A060370,186
A122450,296
A052900,297
A061970,298
A093050,299
A003550,300
A034220,301
A051900,302
A032640,303
A011070,304
A066570,305
A037560,1939
A051910,306
A079550,307
A006260,308
A010120,309
A000680,310
A229640,311
A108320,312
A001120,313
A108670,314
A383800,315
A086960,316
A023150,317
A035420,318
A160550,319
A053290,320
A181710,321
A060250,1864
A104200,322
A005940,323
A034310,324
A030190,325
A008260,326
A004250,327
A010060,328
A178920,329
A024940,330
A005490,75
A218410,331
A327260,332
A091340,333
A010950,334
A019550,335
A034120,336
A046140,1971
A151910,337
A036120,338
A099220,339
A036540,340
A255220,341
A040610,342
A184230,82
A005090,343
A016250,1963
A001380,344
A004060,345
A002360,1810
A009160,346
A123700,347
A025530,2
A034730,348
A011790,1896
A018670,349
A001740,350
A006120,126
A210980,351
A068400,22
A302440,352
A326030,353
A361610,354
A100090,355
A096770,356
A001510,357
A285130,358
A017670,359
A000660,146
A048550,360
A063440,1853
A003570,361
A064960,362
A100840,363
A036530,364
A005610,365
A011810,366
A077970,367
A071970,368
A289080,369
A002710,166
A089230,370
A032540,43
A022220,371
A069260,372
A048770,373
A246690,1831
A317240,182
A002900,374
A024070,375
A057030,45
A037270,376
A040300,377
A052220,378
A079940,379
A078890,380
A000500,147
A036620,381
A000860,382
A217730,383
A035250,384
A114190,385
A094480,1940
A011420,386
A039240,387
A053950,388
A002100,389
A009450,390
A267290,1907
A012320,391
A011040,392
A000050,393
A214390,394
A012610,395
A024910,396
A013580,397
A012200,398
A002140,399
A198440,99
A049720,400
A010130,401
A002240,402
A014570,403
A348150,404
A098460,405
A035290,406
A038530,407
A215000,408
A121440,409
A009290,410
A014200,411
A017040,412
A029480,1912
A017900,413
A037710,414
A030610,1914
A339770,415
A053270,416
A007690,417
A005320,418
A001140,419
A066620,420
A043650,1925
A006050,421
A078130,1999
A307750,422
A002720,423
A035080,424
A204020,425
A083420,426
A186230,427
A014530,428
A204620,53
A019660,57
A014280,429
A053260,430
A008870,431
A001570,1997
A002990,1824
A011780,432
A214330,433
A073240,434
A036190,435
A049080,436
A035460,437
A092440,438
A000270,138
A024110,439
A013700,440
A308100,441
A004540,442
A286750,443
A121600,444
A247660,445
A039860,446
A051490,447
A190510,448
A242040,449
A089600,1917
A293580,450
A138610,451
A130580,452
A036800,453
A267320,454
A001260,455
A008350,456
A004270,457
A003920,458
A025860,1901
A111710,459
A091590,30
A168330,460
A094860,461
A253590,462
A212560,108
A095660,463
A042420,464
A311390,465
A085910,1974
A092730,466
A306620,467
A153460,468
A007390,469
A033640,470
A330860,29
A005720,471
A002350,472
A089140,473
A348210,474
A225570,475
A217270,476
A251270,477
A104620,478
A090350,479
A000320,480
A194700,481
A285490,482
A006280,483
A142280,484
A234690,485
A005250,1871
A065560,486
A004370,487
A072710,167
A054050,1945
A040160,488
A332290,489
A012340,490
A214870,491
A270870,492
