종목코드,순위
A060310,42
A095570,1997
A006840,201
A054620,202
A265520,203
A211270,204
A027410,205
A282330,131
A126600,206
A138930,207
A001460,208
A013720,209
A001040,210
A079160,211
A035760,212
A311690,1970
A000120,213
A011150,214
A097950,215
A051500,1849
A058820,216
A023460,217
A056730,218
A083660,87
A000590,219
A012030,220
A016610,221
A005830,222
A000990,223
A139130,224
A060900,225
A025440,226
A001530,227
A000210,1951
A001880,1833
A375500,228
A068790,229
A007340,132
A004840,185
A241520,230
A065150,231
A155660,1945
A069730,232
A180400,233
A017940,163
A245620,234
A037370,235
A050120,236
A383220,1956
A007700,237
A214270,238
A130500,239
A114090,240
A078930,241
A083450,242
A006360,243
A001250,244
A007070,1894
A297890,245
A078150,140
A012630,246
A039570,247
A089470,248
A294870,128
A009540,249
A267250,250
A267270,251
A322000,252
A042670,253
A267260,55
A097230,254
A014790,255
A028300,256
A003580,257
A278650,1992
A067630,258
A024850,259
A047920,1858
A115450,260
A204320,261
A060980,262
A011200,1980
A036640,263
A082740,124
A003560,264
A095340,265
A099520,266
A175330,267
A234080,268
A067290,269
A001060,270
A096760,271
A035900,56
A318000,272
A024840,273
A105560,274
A024120,275
A002380,1954
A021320,276
A344820,180
A036670,277
A009070,1897
A009440,278
A119650,279
A092220,280
A151860,281
A046440,282
A003620,283
A016380,284
A035600,1891
A001390,285
A033180,286
A060720,287
A001940,288
A058400,289
A114450,1841
A025000,290
A092230,291
A000040,292
A044450,1834
A030200,293
A033780,294
A058850,295
A058860,296
A060370,297
A122450,298
A052900,299
A061970,300
A093050,1869
A003550,301
A034220,302
A051900,303
A032640,304
A011070,104
A066570,305
A037560,306
A051910,307
A079550,308
A006260,309
A010120,310
A000680,311
A229640,312
A108320,313
A001120,314
A108670,315
A383800,316
A086960,80
A023150,317
A035420,318
A160550,319
A053290,320
A181710,321
A060250,1889
A104200,322
A005940,323
A034310,324
A030190,325
A008260,326
A004250,327
A010060,328
A178920,329
A024940,330
A005490,95
A218410,331
A327260,332
A091340,333
A010950,334
A019550,335
A034120,336
A046140,1931
A151910,337
A036120,338
A099220,339
A036540,340
A255220,341
A040610,342
A184230,343
A005090,344
A016250,1968
A001380,345
A004060,346
A002360,1811
A009160,347
A123700,136
A025530,28
A034730,348
A011790,349
A018670,350
A001740,351
A006120,94
A210980,1864
A068400,12
A302440,352
A326030,353
A361610,354
A100090,1866
A096770,355
A001510,356
A285130,357
A017670,358
A000660,102
A048550,359
A063440,1905
A003570,360
A064960,361
A100840,362
A036530,363
A005610,364
A011810,365
A077970,1836
A071970,366
A289080,367
A002710,368
A089230,369
A032540,370
A022220,371
A069260,372
A048770,373
A246690,374
A317240,134
A002900,375
A024070,376
A057030,377
A037270,378
A040300,1937
A052220,379
A079940,380
A078890,381
A000500,382
A036620,383
A000860,384
A217730,385
A035250,386
A114190,1907
A094480,387
A011420,388
A039240,389
A053950,390
A002100,391
A009450,197
A267290,1829
A012320,392
A011040,393
A000050,394
A214390,395
A012610,396
A024910,397
A013580,398
A012200,399
A002140,400
A198440,401
A049720,402
A010130,403
A002240,404
A014570,405
A348150,11
A098460,406
A035290,1872
A038530,407
A215000,408
A121440,409
A009290,77
A014200,410
A017040,411
A029480,1964
A017900,412
A037710,413
A030610,1950
A339770,414
A053270,415
A007690,416
A005320,1929
A001140,417
A066620,418
A043650,1979
A006050,419
A078130,420
A307750,421
A002720,422
A035080,423
A204020,424
A083420,425
A186230,426
A014530,427
A204620,9
A019660,97
A014280,428
A053260,429
A008870,430
A001570,1989
A002990,431
A011780,432
A214330,433
A073240,434
A036190,435
A049080,1805
A035460,436
A092440,437
A000270,109
A024110,438
A013700,439
A308100,440
A004540,1911
A286750,441
A121600,442
A247660,443
A039860,444
A051490,59
A190510,445
A242040,139
A089600,446
A293580,447
A138610,448
A130580,449
A036800,1887
A267320,450
A001260,451
A008350,452
A004270,23
A003920,453
A025860,454
A111710,455
A091590,121
A168330,1828
A094860,456
A253590,457
A212560,91
A095660,458
A042420,459
A311390,460
A085910,461
A092730,462
A306620,463
A153460,464
A007390,465
A033640,466
A330860,467
A005720,468
A002350,469
A089140,470
A348210,179
A225570,471
A217270,472
A251270,473
A104620,474
A090350,475
A000320,476
A194700,1826
A285490,477
A006280,478
A142280,479
A234690,480
A005250,481
A065560,482
A004370,483
A072710,484
A054050,1885
A040160,153
A332290,485
A012340,486
A214870,487
A270870,488
A144960,50
A085670,137
A064260,489
A039560,490
A058730,491
A030210,1881
A023590,492
A032190,493
A068240,494
A145210,495
A019680,496
A006370,497
A008060,498
A353200,499
A000490,500
A008830,501
A008110,502
A004780,503
A005750,504
A017650,505
A006570,506
A007720,507
A317850,508
A290670,509
A078140,510
A001680,511
A084690,512
A036480,513
A128820,514
A117580,1909
A027830,1890
A104040,515
A016710,516
A003540,517
A045390,518
A009190,189
A108380,519
A006580,520
A014160,521
A047040,522
A009320,523
A042660,524
A003090,525
A069620,526
A007680,527
A000430,528
A048910,529
A005710,530
A006340,531
A003220,532
A024890,533
A290380,534
A002880,535
A290120,536
A000300,537
A120240,538
A003310,539
A078600,540
A012800,541
A015230,542
A096350,7
A140520,543
A131220,544
A010170,545
A054670,546
A001070,547
A023910,548
A006650,549
A001440,550
A084010,551
A001790,552
A001130,553
A003490,554
A005880,555
A003830,556
A016090,557
A069460,558
A067080,559
A298540,1877
A118000,560
A192080,561
A299170,562
A012510,563
A213420,564
A317330,125
A077360,565
A004830,566
A090410,567
A024900,3
A263600,568
A194480,1874
A263800,200
A206560,569
A261200,570
A145720,150
A067990,571
A002150,572
A006620,573
A100130,1924
A005160,574
A075970,575
A001230,576
A086450,577
A023450,160
A004140,578
A007590,579
A005960,580
A026960,581
A002210,582
A102260,583
A033500,584
A025950,585
A000640,586
A170900,587
A088130,588
A028100,589
A282690,590
A041930,591
A001520,592
A084670,593
A082640,594
A060380,595
A079960,596
A008970,597
A228340,598
A092780,599
A088910,600
A094170,601
A049770,602
A013120,603
A018500,604
A006040,605
A014820,606
A163560,607
A109860,608
A032960,609
A004890,610
A002690,611
A005290,612
A025900,613
A000020,614
A000150,615
A241560,6
A034020,616
A131970,105
A336260,617
A016740,147
A030350,618
A203650,619
A223250,620
A060570,621
A192650,622
A217620,623
A187870,624
A066670,625
A024090,626
A003160,627
A092200,628
A110990,98
A078590,629
A263690,1871
A214680,24
A263720,193
A109740,630
A196490,631
A066900,632
A127120,633
A092070,634
A039840,635
A013570,636
A219550,637
A210540,638
A104460,1999
A079810,1953
A113810,639
A197140,640
A068930,641
A033130,642
A105740,643
A263020,644
A290550,645
A187220,646
A317120,647
A042510,648
A232680,649
A300120,650
A171120,167
A069540,651
A347700,652
A214260,653
A115390,654
A200350,655
A171010,656
A084650,657
A217500,658
A141080,659
A038390,1910
A294140,660
A228670,661
A228850,662
A281740,67
A277810,663
A215100,1830
A090360,664
A108490,665
A071280,666
A032350,667
A000400,668
A023530,669
A020150,670
A280360,1975
A004000,671
A286940,672
A004990,1824
A005300,673
A011170,674
A071840,1817
A038060,675
A085370,676
A060240,677
A058470,1901
A019570,34
A016100,678
A012700,679
A302550,680
A277070,681
A042500,682
A219420,683
A027740,684
A195500,685
A305090,686
A098120,155
A038290,687
A001080,688
A267980,689
A005990,690
A093520,52
A100590,691
A067280,692
A072870,693
A215200,694
A133750,695
A235980,696
A041920,697
A054180,698
A086900,699
A078160,700
A065650,86
A138040,701
A021880,108
A140410,702
A241770,703
A090370,1977
A059210,85
A058110,704
A096640,705
A017180,706
A257370,707
A009900,708
A012690,1939
A005360,709
A080420,710
A080160,711
A087260,712
A101330,713
A012860,115
A363260,1943
A348030,714
A250060,142
A033200,1935
A009680,715
A118990,716
A009580,1981
A001810,717
A009200,718
A033920,35
A008420,719
A279600,720
A095500,721
A025560,722
A218150,723
A007120,724
A100790,196
A085620,182
A006800,725
A049950,726
A207760,727
A002840,728
A268280,729
A107590,730
A134380,731
A003650,732
A059090,733
A214610,734
A201490,735
A206640,736
A018700,1875
A035620,1918
A053030,737
A301300,738
A064550,739
A314930,46
A086820,740
A038460,741
A086040,742
A032980,62
A043150,1844
A323990,743
A003610,744
A267790,745
A001340,746
A046310,747
A035150,748
A331520,749
A066410,750
A002410,751
A206400,752
A019010,753
A177350,754
A007210,755
A225530,756
A250000,757
A002760,758
A003850,759
A006910,760
A000890,1807
A226340,761
A003000,762
A001270,763
A026940,764
A014470,765
A011390,766
A338220,75
A100120,767
A337930,768
A064480,1944
A288330,1810
A251630,769
A018290,168
A033560,770
A369370,771
A126340,772
A121800,773
A082800,774
A318410,15
A100220,775
A200780,1912
A141000,776
A090460,777
A083650,778
A142760,779
A065170,780
A086670,781
A335890,782
A138580,194
A082920,20
A042370,783
A307870,784
A032850,785
A238200,786
A093190,787
A065450,788
A005180,144
A143240,789
A003960,790
A008040,791
A007160,792
A014710,793
A006090,794
A122350,1926
A014970,1941
A018310,795
A053700,796
A009620,797
A023600,1873
A001470,68
A006400,798
A006660,799
A028260,800
A207940,1822
A032830,801
A018260,802
A028050,803
A009150,145
A005930,18
A001360,58
A010140,161
A016360,804
A068290,1904
A029780,805
A000810,806
A006110,190
A009300,807
A145990,808
A003230,1927
A225190,809
A002170,810
A272550,811
A000070,812
A003720,129
A002810,813
A054540,814
A005680,815
A023000,816
A004380,817
A002450,818
A002290,819
A004440,1993
A000520,820
A009770,821
A037460,822
A032750,823
A054090,824
A005500,825
A000250,826
A004690,1919
A024950,827
A038500,828
A017480,829
A010960,830
A046390,831
A004450,832
A009470,833
A011230,834
A001820,835
A000390,1804
A027580,836
A038540,837
A001290,838
A041650,120
A091580,839
A263810,25
A089980,840
A042940,841
A042600,73
A075180,1961
A252990,842
A007540,843
A248170,844
A294630,845
A038070,846
A006730,847
A100660,848
A007860,849
A200880,850
A019770,1816
A017390,851
A092190,852
A046890,853
A004410,854
A063170,855
A018680,49
A021050,856
A093920,857
A189860,858
A178320,1856
A122690,859
A140070,76
A011370,860
A065710,861
A008490,862
A035890,71
A357550,191
A003100,1934
A007610,863
A067370,864
A171090,865
A136490,866
A086710,867
A014620,868
A037350,869
A014910,870
A003080,871
A004980,872
A011300,48
A081580,873
A045300,874
A015750,875
A000180,876
A080470,877
A043260,79
A148150,63
A340440,878
A017510,879
A004360,2000
A004490,880
A011560,881
A001430,882
A306200,883
A003030,884
A019440,885
A058650,886
A100700,887
A024830,888
A091090,889
A021820,890
A067830,891
A033530,892
A258830,893
A036630,1880
A039310,894
A075580,895
A053450,32
A222810,896
A027970,897
A252500,898
A049180,1888
A299660,899
A268600,900
A108860,901
A208370,902
A068270,903
A068760,904
A091990,905
A060230,906
A290690,17
A032680,907
A066910,908
A336370,909
A248070,910
A035610,911
A357780,912
A036830,913
A304100,914
A004430,1850
A086980,915
A050960,916
A017550,917
A084180,918
A253840,919
A236200,920
A317770,2
A094840,921
A192440,922
A136510,923
A099440,84
A053210,1948
A159910,1857
A253450,924
A026890,925
A013810,926
A049830,1983
A020710,927
A033170,110
A048870,928
A025320,929
A134790,930
A269620,931
A131090,932
A139050,933
A016590,934
A290520,935
