종목코드,순위
A060310,56
A095570,1963
A006840,201
A054620,202
A265520,116
A211270,203
A027410,204
A282330,205
A126600,206
A138930,207
A001460,208
A013720,209
A001040,210
A079160,211
A035760,212
A311690,1959
A000120,213
A011150,214
A097950,215
A051500,216
A058820,217
A023460,218
A056730,219
A083660,220
A000590,81
A012030,180
A016610,221
A005830,39
A000990,222
A139130,223
A060900,224
A025440,225
A001530,226
A000210,1886
A001880,227
A375500,228
A068790,229
A007340,155
A004840,230
A241520,231
A065150,232
A155660,1885
A069730,233
A180400,234
A017940,235
A245620,236
A037370,237
A050120,238
A383220,1981
A007700,239
A214270,240
A130500,241
A114090,242
A078930,243
A083450,244
A006360,245
A001250,246
A007070,1801
A297890,247
A078150,149
A012630,248
A039570,249
A089470,250
A294870,251
A009540,252
A267250,253
A267270,48
A322000,254
A042670,90
A267260,175
A097230,255
A014790,256
A028300,257
A003580,258
A278650,259
A067630,260
A024850,261
A047920,1804
A115450,262
A204320,263
A060980,182
A011200,1954
A036640,1840
A082740,62
A003560,264
A095340,265
A099520,266
A175330,267
A234080,268
A067290,269
A001060,270
A096760,271
A035900,272
A318000,273
A024840,274
A105560,275
A024120,1817
A002380,1989
A021320,276
A344820,198
A036670,1829
A009070,1896
A009440,277
A119650,278
A092220,279
A151860,280
A046440,281
A003620,282
A016380,283
A035600,1875
A001390,284
A033180,285
A060720,286
A001940,287
A058400,288
A114450,289
A025000,290
A092230,291
A000040,292
A044450,1877
A030200,293
A033780,294
A058850,295
A058860,296
A060370,297
A122450,298
A052900,299
A061970,300
A093050,1831
A003550,301
A034220,302
A051900,1833
A032640,186
A011070,159
A066570,303
A037560,304
A051910,305
A079550,306
A006260,307
A010120,308
A000680,309
A229640,310
A108320,311
A001120,312
A108670,313
A383800,1890
A086960,63
A023150,314
A035420,315
A160550,316
A053290,317
A181710,318
A060250,1913
A104200,319
A005940,320
A034310,321
A030190,322
A008260,79
A004250,323
A010060,324
A178920,325
A024940,326
A005490,50
A218410,327
A327260,328
A091340,329
A010950,330
A019550,331
A034120,332
A046140,1953
A151910,333
A036120,334
A099220,335
A036540,336
A255220,337
A040610,338
A184230,339
A005090,340
A016250,1929
A001380,341
A004060,1864
A002360,1861
A009160,342
A123700,343
A025530,26
A034730,344
A011790,345
A018670,346
A001740,347
A006120,176
A210980,1986
A068400,74
A302440,348
A326030,174
A361610,349
A100090,1853
A096770,350
A001510,351
A285130,352
A017670,353
A000660,130
A048550,354
A063440,355
A003570,136
A064960,189
A100840,356
A036530,357
A005610,358
A011810,359
A077970,360
A071970,199
A289080,361
A002710,362
A089230,363
A032540,364
A022220,365
A069260,366
A048770,367
A246690,1839
A317240,34
A002900,368
A024070,369
A057030,370
A037270,371
A040300,372
A052220,373
A079940,374
A078890,375
A000500,376
A036620,377
A000860,378
A217730,379
A035250,380
A114190,381
A094480,1876
A011420,382
A039240,383
A053950,1894
A002100,384
A009450,66
A267290,1972
A012320,385
A011040,386
A000050,387
A214390,388
A012610,389
A024910,390
A013580,391
A012200,392
A002140,393
A198440,394
A049720,395
A010130,396
A002240,397
A014570,398
A348150,35
A098460,399
A035290,400
A038530,401
A215000,1924
A121440,402
A009290,73
A014200,403
A017040,404
A029480,1927
A017900,405
A037710,406
A030610,1912
A339770,407
A053270,408
A007690,409
A005320,410
A001140,411
A066620,412
A043650,1851
A006050,413
A078130,414
A307750,415
A002720,416
A035080,417
A204020,418
A083420,419
A186230,420
A014530,421
A204620,143
A019660,422
A014280,423
A053260,424
A008870,425
A001570,426
A002990,427
A011780,428
A214330,429
A073240,430
A036190,431
A049080,432
A035460,433
A092440,434
A000270,169
A024110,435
A013700,436
A308100,437
A004540,1878
A286750,438
A121600,439
A247660,440
A039860,441
A051490,28
A190510,442
A242040,160
A089600,443
A293580,444
A138610,445
A130580,1958
A036800,446
A267320,447
A001260,448
A008350,449
A004270,450
A003920,451
A025860,452
A111710,453
A091590,6
A168330,1835
A094860,454
A253590,455
A212560,456
A095660,457
A042420,458
A311390,459
A085910,460
A092730,461
A306620,462
A153460,463
A007390,464
A033640,465
A330860,466
A005720,467
A002350,468
A089140,469
A348210,2
A225570,137
A217270,1824
A251270,470
A104620,471
A090350,472
A000320,473
A194700,1860
A285490,474
A006280,475
A142280,476
A234690,477
A005250,1909
A065560,478
A004370,479
A072710,480
A054050,481
A040160,31
A332290,482
A012340,483
A214870,484
A270870,485
A144960,7
A085670,185
A064260,486
A039560,487
A058730,488
A030210,1946
A023590,1871
A032190,489
A068240,490
A145210,491
A019680,492
A006370,493
A008060,494
A353200,495
A000490,496
A008830,497
A008110,498
A004780,499
A005750,500
A017650,501
A006570,502
A007720,503
A317850,504
